rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
41	A_B_b2_noPTM	+1.5041	0.0830	0.1667	—	0	0.0000	unlikely binder
42	2hle	+1.5240	0.0855	0.1667	—	0	0.0000	unlikely binder
43	8ja5	+1.5254	0.0857	0.1667	—	0	0.0000	unlikely binder
44	7syy	+1.5311	0.0864	0.1667	—	0	0.0000	unlikely binder
45	6cmi	+1.5391	0.0874	0.1667	—	0	0.0000	unlikely binder
46	6cmg	+1.5434	0.0879	0.1667	—	0	0.0000	unlikely binder
47	5nop	+1.5808	0.0925	0.1667	—	0	0.0000	unlikely binder
48	7syy_A	+1.6011	0.0950	0.1667	—	0	0.0000	unlikely binder
49	8wjb	+1.6104	0.0962	0.1667	—	0	0.0000	unlikely binder
50	A_B_b2_noPTM_A_boltz2	+1.6109	0.0963	0.1667	—	0	0.0000	unlikely binder
51	6cmg_A	+1.6266	0.0982	0.1667	—	0	0.0000	unlikely binder
52	8wjb_A	+1.6271	0.0983	0.1667	—	0	0.0000	unlikely binder
53	1trn_A	+1.6393	0.1204	0.3333	—	0	0.0000	unlikely binder
54	9dvd_A	+1.6449	0.1005	0.1667	—	0	0.0000	unlikely binder
55	1v3d	+1.6513	0.1013	0.1667	—	0	0.0000	unlikely binder
56	2vsk_A	+1.6513	0.1013	0.1667	—	0	0.0000	unlikely binder
57	6vy4_A	+1.6526	0.1014	0.1667	—	0	0.0000	unlikely binder
58	A_B_b2_noPTM_A	+1.6554	0.1018	0.1667	—	0	0.0000	unlikely binder
59	2vsm_A	+1.6560	0.1018	0.1667	—	0	0.0000	unlikely binder
60	8ja5_A	+1.6600	0.1023	0.1667	—	0	0.0000	unlikely binder
61	covid_closed	+1.6639	0.1028	0.1667	—	0	0.0000	unlikely binder
62	brca1	+1.6656	0.1030	0.1667	—	0	0.0000	unlikely binder
63	3gxu	+1.6765	0.1044	0.1667	—	0	0.0000	unlikely binder
64	6pdl	+1.6924	0.0857	0.0000	—	0	0.0000	unlikely binder
65	6vy4	+1.6955	0.0861	0.0000	—	0	0.0000	unlikely binder
66	8xc4	+1.7137	0.0883	0.0000	—	0	0.0000	unlikely binder
67	2vsk	+1.7453	0.0923	0.0000	—	0	0.0000	unlikely binder
68	6pd4	+1.7892	0.0977	0.0000	—	0	0.0000	unlikely binder
69	2x9m	+1.7916	0.0980	0.0000	—	0	0.0000	unlikely binder
70	covid_open	+1.8117	0.1005	0.0000	—	0	0.0000	unlikely binder
71	4wwy	+1.8333	0.1238	0.1667	—	0	0.0000	unlikely binder
72	1trn	+1.9574	0.1185	0.0000	—	0	0.0000	unlikely binder
