rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
34	esmfold_A_B_b3_structure	+0.2880	0.1023	0.5000	2.15	0	0.0000	PREDICTED BINDER
35	esmfold_A_B_b3_noPTM_structure	+0.2880	0.1023	0.5000	2.15	0	0.0000	PREDICTED BINDER
36	esmfold_2vwd_A_structure	+0.3108	0.1034	0.5000	2.18	0	0.0000	PREDICTED BINDER
37	esmfold_2vwd_A_boltz2_structure	+0.3108	0.1034	0.5000	2.18	0	0.0000	PREDICTED BINDER
38	esmfold_1f0l_A_mutoutside_9_structure	+0.3347	0.1054	0.5000	2.15	0	0.0000	PREDICTED BINDER
39	esmfold_7syy_A_structure	+0.3526	0.1104	0.5000	1.87	0	0.0000	PREDICTED BINDER
40	esmfold_8wjb_structure	+0.3592	0.1124	0.5000	1.75	0	0.0000	PREDICTED BINDER
41	esmfold_1f0l_mutconserved_9_structure	+0.5793	0.1191	0.5000	2.31	0	0.0000	PREDICTED BINDER
42	esmfold_1f0l_mutconserved_10_structure	+0.5850	0.1181	0.5000	2.42	0	0.0000	PREDICTED BINDER
43	esmfold_1f0l_mutconserved_7_structure	+0.6547	0.1293	0.5000	1.92	0	0.0000	unlikely binder
44	mutoutside_15_af3	+0.9116	0.0938	0.3333	—	0	0.0000	unlikely binder
45	esmfold_5nop_structure	+1.0342	0.1017	0.3333	—	0	0.0000	unlikely binder
46	esmfold_6vy5_structure	+1.0995	0.0930	0.1667	—	0	0.0000	unlikely binder
47	esmfold_2vsm_structure	+1.1260	0.0947	0.1667	—	0	0.0000	unlikely binder
48	esmfold_A_B_b2_structure	+1.1260	0.0947	0.1667	—	0	0.0000	unlikely binder
49	esmfold_A_B_b2_noPTM_structure	+1.1260	0.0947	0.1667	—	0	0.0000	unlikely binder
50	esmfold_b2_structure	+1.1260	0.0947	0.1667	—	0	0.0000	unlikely binder
51	esmfold_6p72_A_structure	+1.1307	0.0950	0.1667	—	0	0.0000	unlikely binder
52	esmfold_6pdl_A_structure	+1.1429	0.1088	0.3333	—	0	0.0000	unlikely binder
53	esmfold_2vsk_structure	+1.1701	0.0976	0.1667	—	0	0.0000	unlikely binder
54	esmfold_8vf1_structure	+1.1710	0.1106	0.3333	—	0	0.0000	unlikely binder
55	esmfold_8vf1_A_structure	+1.1966	0.0993	0.1667	—	0	0.0000	unlikely binder
56	esmfold_3d12_structure	+1.2036	0.0997	0.1667	—	0	0.0000	unlikely binder
57	esmfold_b3_structure	+1.2036	0.0997	0.1667	—	0	0.0000	unlikely binder
58	esmfold_1f0l_A_mutoutside_14_structure	+1.2078	0.1130	0.3333	—	0	0.0000	unlikely binder
59	esmfold_2vwd_structure	+1.2125	0.1003	0.1667	—	0	0.0000	unlikely binder
60	esmfold_6cmi_structure	+1.2252	0.1011	0.1667	—	0	0.0000	unlikely binder
61	esmfold_1f0l_mutconserved_3_structure	+1.2274	0.1143	0.3333	—	0	0.0000	unlikely binder
62	esmfold_3gxu_structure	+1.2286	0.1014	0.1667	—	0	0.0000	unlikely binder
63	esmfold_2x9m_A_structure	+1.2557	0.1031	0.1667	—	0	0.0000	unlikely binder
64	mutconserved_9_af3	+1.2611	0.1035	0.1667	—	0	0.0000	unlikely binder
65	esmfold_6cmg_A_structure	+1.2626	0.1036	0.1667	—	0	0.0000	unlikely binder
66	esmfold_5kv9_structure	+1.2848	0.1180	0.3333	—	0	0.0000	unlikely binder
67	esmfold_1trn_structure	+1.3103	0.1067	0.1667	—	0	0.0000	unlikely binder
68	esmfold_2vsk_A_structure	+1.3403	0.1086	0.1667	—	0	0.0000	unlikely binder
69	esmfold_brca1_structure	+1.3563	0.1227	0.3333	—	0	0.0000	unlikely binder
70	esmfold_7syy_structure	+1.3575	0.0967	0.0000	—	0	0.0000	unlikely binder
71	esmfold_4wwy_structure	+1.3623	0.1101	0.1667	—	0	0.0000	unlikely binder
72	esmfold_6cmg_structure	+1.4129	0.1003	0.0000	—	0	0.0000	unlikely binder
73	esmfold_6pd4_structure	+1.4387	0.1150	0.1667	—	0	0.0000	unlikely binder
74	esmfold_1v3d_structure	+1.5474	0.1091	0.0000	—	0	0.0000	unlikely binder
75	esmfold_1f0l_A_mutoutside_7_structure	+1.5475	0.1221	0.1667	—	0	0.0000	unlikely binder
76	esmfold_1f0l_mutconserved_6_structure	+1.5487	0.1222	0.1667	—	0	0.0000	unlikely binder
77	esmfold_1f0l_mutconserved_5_structure	+1.5552	0.1226	0.1667	—	0	0.0000	unlikely binder
78	esmfold_1f0l_mutconserved_1_structure	+1.5571	0.1227	0.1667	—	0	0.0000	unlikely binder
79	esmfold_1f0l_mutconserved_2_structure	+1.6512	0.1288	0.1667	—	0	0.0000	unlikely binder
80	esmfold_1f0l_A_mutoutside_15_structure	+1.6517	0.1289	0.1667	—	0	0.0000	unlikely binder
81	esmfold_1f0l_mutconserved_4_structure	+1.6628	0.1296	0.1667	—	0	0.0000	unlikely binder
82	mutconserved_9_boltz2	+1.6924	0.1315	0.1667	—	0	0.0000	unlikely binder
83	esmfold_1f0l_mutconserved_8_structure	+1.8000	0.1385	0.1667	—	0	0.0000	unlikely binder
84	esmfold_6p72_structure	+1.9669	0.1363	0.0000	—	0	0.0000	unlikely binder
