rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict	label
62	esmfold_2vwd_structure	1.2123	0.1003	0.1667	—	0	0.0	unlikely binder	non-binder
63	esmfold_6cmi_structure	1.2246	0.1011	0.1667	—	0	0.0	unlikely binder	non-binder
64	esmfold_1f0l_mutconserved_3_structure	1.2277	0.1143	0.3333	—	0	0.0	unlikely binder	non-binder
65	esmfold_3gxu_structure	1.2292	0.1014	0.1667	—	0	0.0	unlikely binder	non-binder
66	esmfold_2x9m_A_structure	1.2553	0.1031	0.1667	—	0	0.0	unlikely binder	non-binder
67	mutconserved_9_af3	1.2615	0.1035	0.1667	—	0	0.0	unlikely binder	non-binder
68	esmfold_6cmg_A_structure	1.263	0.1036	0.1667	—	0	0.0	unlikely binder	non-binder
69	esmfold_5kv9_structure	1.2846	0.118	0.3333	—	0	0.0	unlikely binder	non-binder
70	esmfold_1trn_structure	1.3107	0.1067	0.1667	—	0	0.0	unlikely binder	non-binder
71	esmfold_2vsk_A_structure	1.34	0.1086	0.1667	—	0	0.0	unlikely binder	non-binder
72	esmfold_7syy_structure	1.3569	0.0967	0.0	—	0	0.0	unlikely binder	non-binder
73	esmfold_brca1_structure	1.3569	0.1227	0.3333	—	0	0.0	unlikely binder	non-binder
74	esmfold_4wwy_structure	1.363	0.1101	0.1667	—	0	0.0	unlikely binder	non-binder
75	esmfold_6cmg_structure	1.4123	0.1003	0.0	—	0	0.0	unlikely binder	non-binder
76	esmfold_6pd4_structure	1.4384	0.115	0.1667	—	0	0.0	unlikely binder	non-binder
77	esmfold_1f0l_A_mutoutside_7_structure	1.5476	0.1221	0.1667	—	0	0.0	unlikely binder	non-binder
78	esmfold_1v3d_structure	1.5477	0.1091	0.0	—	0	0.0	unlikely binder	non-binder
79	esmfold_1f0l_mutconserved_6_structure	1.5492	0.1222	0.1667	—	0	0.0	unlikely binder	non-binder
80	esmfold_1f0l_mutconserved_5_structure	1.5553	0.1226	0.1667	—	0	0.0	unlikely binder	non-binder
81	esmfold_1f0l_mutconserved_1_structure	1.5569	0.1227	0.1667	—	0	0.0	unlikely binder	non-binder
82	esmfold_1f0l_mutconserved_2_structure	1.6507	0.1288	0.1667	—	0	0.0	unlikely binder	non-binder
83	esmfold_1f0l_A_mutoutside_15_structure	1.6523	0.1289	0.1667	—	0	0.0	unlikely binder	non-binder
84	esmfold_1f0l_mutconserved_4_structure	1.663	0.1296	0.1667	—	0	0.0	unlikely binder	non-binder
85	mutconserved_9_boltz2	1.6923	0.1315	0.1667	—	0	0.0	unlikely binder	non-binder
86	esmfold_1f0l_mutconserved_8_structure	1.8	0.1385	0.1667	—	0	0.0	unlikely binder	non-binder
87	esmfold_6p72_structure	1.9662	0.1363	0.0	—	0	0.0	unlikely binder	non-binder
